SRR,SampleName
SRR1972952,SRS908487
SRR1972953,SRS908486
SRR1735149,SRS803929
SRR1734996,SRS803776
SRR1972954,SRS804039
SRR1735259,SRS804039
SRR1972955,SRS803803
SRR1735023,SRS803803
SRR1735089,SRS803869
SRR1735005,SRS803785
SRR1735128,SRS803908
SRR1735161,SRS803940
SRR1735056,SRS803836
SRR1735062,SRS803842
SRR1735205,SRS803987
SRR1735206,SRS803985
SRR1735190,SRS803970
SRR1735227,SRS804006
SRR1735019,SRS803799
SRR1972956,SRS803799
SRR1972957,SRS803978
SRR1735198,SRS803978
SRR1972958,SRS803827
SRR1735047,SRS803827
SRR1972959,SRS908485
SRR1972960,SRS803846
SRR1735066,SRS803846
SRR1735231,SRS804011
SRR1735142,SRS803922
SRR1972961,SRS803922
SRR1972962,SRS803890
SRR1735108,SRS803890
SRR1735213,SRS803992
SRR1972963,SRS803992
SRR1735173,SRS803953
SRR1735131,SRS803911
SRR1735180,SRS803960
SRR1972964,SRS803856
SRR1735075,SRS803856
SRR1735156,SRS803936
SRR1735184,SRS803964
SRR1735181,SRS803961
SRR1972965,SRS803961
SRR1735051,SRS803830
SRR1972966,SRS804014
SRR1735234,SRS804014
SRR1972967,SRS803858
SRR1735079,SRS803858
SRR1735172,SRS803952
SRR1735009,SRS803789
SRR1972968,SRS803969
SRR1735189,SRS803969
SRR1972969,SRS803820
SRR1735040,SRS803820
SRR1735060,SRS803841
SRR1972970,SRS803841
SRR1735016,SRS803796
SRR1972971,SRS803941
SRR1735160,SRS803941
SRR1735134,SRS803915
SRR1972972,SRS803915
SRR1972973,SRS804037
SRR1735257,SRS804037
SRR1735144,SRS803925
SRR1735124,SRS803905
SRR1735068,SRS803848
SRR1564818,SRS694100
SRR1564819,SRS694101
SRR1564820,SRS694102
SRR1564821,SRS694103
SRR1564822,SRS694104
SRR1564823,SRS694105
SRR1553605,SRS677966
SRR1553606,SRS677966
SRR1553607,SRS677967
SRR1553608,SRS677967
SRR1553609,SRS677968
SRR1553610,SRS677968
SRR1735150,SRS803930
SRR1735103,SRS803882
SRR1735109,SRS803889
SRR1735183,SRS803963
SRR1735130,SRS803910
SRR1735021,SRS803801
SRR1735063,SRS803844
SRR1735015,SRS803795
SRR1735182,SRS803962
SRR1734992,SRS803772
SRR1735116,SRS803896
SRR1735104,SRS803883
SRR1735097,SRS803877
SRR1735256,SRS804036
SRR1735048,SRS803828
SRR1735105,SRS803884
SRR1735232,SRS804012
SRR1735200,SRS803979
SRR1564824,SRS694106
SRR1564825,SRS694108
